ds;y
2017-08-09;1419
2017-08-10;1591
2017-08-11;1385
2017-08-12;6
2017-08-13;0
2017-08-14;634
2017-08-15;0
2017-08-16;1039
2017-08-17;1273
2017-08-18;1469
2017-08-19;4
2017-08-20;0
2017-08-21;1409
2017-08-22;1376
2017-08-23;1622
2017-08-24;1693
2017-08-25;1557
2017-08-26;8
2017-08-27;0
2017-08-28;1707
2017-08-29;2208
2017-08-30;3098
2017-08-31;3157
2017-09-01;1232
2017-09-02;5
2017-09-03;0
2017-09-04;1158
2017-09-05;1403
2017-09-06;1336
2017-09-07;1560
2017-09-08;1314
2017-09-09;2
2017-09-10;0
2017-09-11;1215
2017-09-12;1371
2017-09-13;1492
2017-09-14;1569
2017-09-15;1420
2017-09-16;0
2017-09-17;0
2017-09-18;1324
2017-09-19;1670
2017-09-20;1551
2017-09-21;1891
2017-09-22;1695
2017-09-23;2
2017-09-24;0
2017-09-25;1972
2017-09-26;2175
2017-09-27;2685
2017-09-28;3512
2017-09-29;3734
2017-09-30;8
2017-10-01;0
2017-10-02;1417
2017-10-03;1549
2017-10-04;1675
2017-10-05;1576
2017-10-06;1565
2017-10-07;97
2017-10-08;0
2017-10-09;1449
2017-10-10;1545
2017-10-11;1621
2017-10-12;1750
2017-10-13;1490
2017-10-14;75
2017-10-15;0
2017-10-16;1520
2017-10-17;1504
2017-10-18;1745
2017-10-19;1896
2017-10-20;1675
2017-10-21;2
2017-10-22;0
2017-10-23;1559
2017-10-24;1906
2017-10-25;2030
2017-10-26;2400
2017-10-27;2468
2017-10-28;7
2017-10-29;0
2017-10-30;2939
2017-10-31;3259
2017-11-01;0
2017-11-02;1353
2017-11-03;1555
2017-11-04;79
2017-11-05;0
2017-11-06;1512
2017-11-07;1618
2017-11-08;1967
2017-11-09;2277
2017-11-10;1412
2017-11-11;0
2017-11-12;3
2017-11-13;909
2017-11-14;1448
2017-11-15;1542
2017-11-16;1668
2017-11-17;1892
2017-11-18;12
2017-11-19;0
2017-11-20;2142
2017-11-21;2210
2017-11-22;2294
2017-11-23;2382
2017-11-24;2226
2017-11-25;3
2017-11-26;0
2017-11-27;2392
2017-11-28;2781
2017-11-29;3325
2017-11-30;3585
2017-12-01;1908
2017-12-02;5
2017-12-03;0
2017-12-04;1968
2017-12-05;2060
2017-12-06;2338
2017-12-07;2510
2017-12-08;2292
2017-12-09;117
2017-12-10;0
2017-12-11;2174
2017-12-12;2354
2017-12-13;2157
2017-12-14;2510
2017-12-15;2352
2017-12-16;12
2017-12-17;0
2017-12-18;2538
2017-12-19;3096
2017-12-20;3329
2017-12-21;3514
2017-12-22;2628
2017-12-23;2
2017-12-24;0
2017-12-25;0
2017-12-26;0
2017-12-27;2186
2017-12-28;3334
2017-12-29;2814
2017-12-30;33
2017-12-31;0
2018-01-01;0
2018-01-02;931
2018-01-03;1949
2018-01-04;2195
2018-01-05;1887
2018-01-06;0
2018-01-07;0
2018-01-08;1953
2018-01-09;2093
2018-01-10;2378
2018-01-11;2425
2018-01-12;1958
2018-01-13;15
2018-01-14;0
2018-01-15;2000
2018-01-16;1997
2018-01-17;2056
2018-01-18;2264
2018-01-19;1820
2018-01-20;10
2018-01-21;0
2018-01-22;1837
2018-01-23;1922
2018-01-24;2104
2018-01-25;2327
2018-01-26;1896
2018-01-27;12
2018-01-28;0
2018-01-29;2268
2018-01-30;2821
2018-01-31;3223
2018-02-01;1916
2018-02-02;1739
2018-02-03;2
2018-02-04;0
2018-02-05;1782
2018-02-06;1878
2018-02-07;1984
2018-02-08;2121
2018-02-09;1763
2018-02-10;9
2018-02-11;0
2018-02-12;1739
2018-02-13;1895
2018-02-14;1964
2018-02-15;2101
2018-02-16;1985
2018-02-17;3
2018-02-18;1
2018-02-19;1651
2018-02-20;1966
2018-02-21;2077
2018-02-22;2536
2018-02-23;2167
2018-02-24;12
2018-02-25;0
2018-02-26;2333
2018-02-27;3072
2018-02-28;3683
2018-03-01;2201
2018-03-02;1960
2018-03-03;8
2018-03-04;0
2018-03-05;1880
2018-03-06;1947
2018-03-07;2024
2018-03-08;2216
2018-03-09;1814
2018-03-10;5
2018-03-11;0
2018-03-12;1764
2018-03-13;1880
2018-03-14;2149
2018-03-15;2259
2018-03-16;1980
2018-03-17;8
2018-03-18;0
2018-03-19;1984
2018-03-20;2119
2018-03-21;2280
2018-03-22;2504
2018-03-23;2427
2018-03-24;5
2018-03-25;0
2018-03-26;2690
2018-03-27;3403
2018-03-28;3934
2018-03-29;4374
2018-03-30;2182
2018-03-31;1
2018-04-01;0
2018-04-02;1
2018-04-03;1529
2018-04-04;1920
2018-04-05;2240
2018-04-06;2046
2018-04-07;8
2018-04-08;0
2018-04-09;1840
2018-04-10;1881
2018-04-11;2123
2018-04-12;2233
2018-04-13;1959
2018-04-14;2
2018-04-15;0
2018-04-16;1828
2018-04-17;1903
2018-04-18;2133
2018-04-19;2354
2018-04-20;1905
2018-04-21;9
2018-04-22;0
2018-04-23;2007
2018-04-24;2369
2018-04-25;2988
2018-04-26;3506
2018-04-27;3535
2018-04-28;29
2018-04-29;0
2018-04-30;2757
2018-05-01;0
2018-05-02;884
2018-05-03;0
2018-05-04;820
2018-05-05;2
2018-05-06;0
2018-05-07;1452
2018-05-08;1886
2018-05-09;1849
2018-05-10;2120
2018-05-11;1758
2018-05-12;4
2018-05-13;0
2018-05-14;1918
2018-05-15;2067
2018-05-16;1982
2018-05-17;2154
2018-05-18;1845
2018-05-19;2
2018-05-20;0
2018-05-21;1971
2018-05-22;2171
2018-05-23;2288
2018-05-24;2665
2018-05-25;2264
2018-05-26;4
2018-05-27;1
2018-05-28;2813
2018-05-29;3674
2018-05-30;4054
2018-05-31;0
2018-06-01;1016
2018-06-02;4
2018-06-03;0
2018-06-04;1484
2018-06-05;1856
2018-06-06;1883
2018-06-07;2127
2018-06-08;1763
2018-06-09;26
2018-06-10;0
2018-06-11;1766
2018-06-12;1102
2018-06-13;2153
2018-06-14;2206
2018-06-15;1953
2018-06-16;7
2018-06-17;0
2018-06-18;1958
2018-06-19;2271
2018-06-20;2280
2018-06-21;2560
2018-06-22;1983
2018-06-23;4
2018-06-24;0
2018-06-25;2232
2018-06-26;2769
2018-06-27;3453
2018-06-28;3741
2018-06-29;3769
2018-06-30;36
2018-07-01;0
2018-07-02;1628
2018-07-03;1936
2018-07-04;1857
2018-07-05;1961
2018-07-06;1816
2018-07-07;5
2018-07-08;0
2018-07-09;1721
2018-07-10;1887
2018-07-11;2060
2018-07-12;1970
2018-07-13;1870
2018-07-14;4
2018-07-15;0
2018-07-16;1924
2018-07-17;2117
2018-07-18;2077
2018-07-19;2209
2018-07-20;2163
2018-07-21;36
2018-07-22;1
2018-07-23;1883
2018-07-24;2132
2018-07-25;2115
2018-07-26;2752
2018-07-27;2458
2018-07-28;26
2018-07-29;0
2018-07-30;2885
2018-07-31;3130
2018-08-01;1946
2018-08-02;1931
2018-08-03;1604
2018-08-04;10
2018-08-05;0
2018-08-06;1766
2018-08-07;2087
2018-08-08;2408
2018-08-09;2670
2018-08-10;2480
2018-08-11;135
2018-08-12;0
2018-08-13;2349
2018-08-14;2574
2018-08-15;0
2018-08-16;2748
2018-08-17;2225
2018-08-18;123
2018-08-19;0
2018-08-20;2514
2018-08-21;3077
2018-08-22;3319
2018-08-23;3379
2018-08-24;2832
2018-08-25;188
2018-08-26;0
2018-08-27;2904
2018-08-28;3320
2018-08-29;3235
2018-08-30;3049
2018-08-31;2147
2018-09-01;3
2018-09-02;0
2018-09-03;425
2018-09-04;609
2018-09-05;668
2018-09-06;908
2018-09-07;937
2018-09-08;3
2018-09-09;0
2018-09-10;969
2018-09-11;1065
2018-09-12;1142
2018-09-13;1274
2018-09-14;1218
2018-09-15;4
2018-09-16;0
2018-09-17;1226
2018-09-18;1410
2018-09-19;1495
2018-09-20;1598
2018-09-21;1387
2018-09-22;5
2018-09-23;0
2018-09-24;1465
2018-09-25;1815
2018-09-26;2279
2018-09-27;2818
2018-09-28;2913
2018-09-29;7
2018-09-30;0
2018-10-01;1287
2018-10-02;1337
2018-10-03;1345
2018-10-04;1644
2018-10-05;1412
2018-10-06;2
2018-10-07;0
2018-10-08;1300
2018-10-09;1386
2018-10-10;1560
2018-10-11;1610
2018-10-12;1395
2018-10-13;3
2018-10-14;0
2018-10-15;1535
2018-10-16;1593
2018-10-17;1762
2018-10-18;1891
2018-10-19;1588
2018-10-20;3
2018-10-21;0
2018-10-22;1522
2018-10-23;1741
2018-10-24;1911
2018-10-25;2107
2018-10-26;2055
2018-10-27;6
2018-10-28;0
2018-10-29;2462
2018-10-30;2922
2018-10-31;2886
2018-11-01;0
2018-11-02;1002
2018-11-03;3
2018-11-04;0
2018-11-05;1541
2018-11-06;1620
2018-11-07;1761
2018-11-08;2072
2018-11-09;1824
2018-11-10;6
2018-11-11;0
2018-11-12;0
2018-11-13;1750
2018-11-14;1953
2018-11-15;2145
2018-11-16;2029
2018-11-17;34
2018-11-18;0
2018-11-19;2020
2018-11-20;2127
2018-11-21;2300
2018-11-22;2416
2018-11-23;2145
2018-11-24;4
2018-11-25;0
2018-11-26;2379
2018-11-27;2544
2018-11-28;3044
2018-11-29;3653
2018-11-30;3166
2018-12-01;6
2018-12-02;0
2018-12-03;1831
2018-12-04;1901
2018-12-05;2310
2018-12-06;2291
2018-12-07;2060
2018-12-08;45
2018-12-09;0
2018-12-10;2286
2018-12-11;2332
2018-12-12;2376
2018-12-13;2712
2018-12-14;2580
2018-12-15;85
2018-12-16;1
