ds;y
2016-04-18;1378
2016-04-19;1496
2016-04-20;1520
2016-04-21;1677
2016-04-22;1548
2016-04-23;84
2016-04-24;0
2016-04-25;1334
2016-04-26;1559
2016-04-27;1883
2016-04-28;2357
2016-04-29;2231
2016-04-30;10
2016-05-01;0
2016-05-02;402
2016-05-03;0
2016-05-04;1000
2016-05-05;1408
2016-05-06;1308
2016-05-07;0
2016-05-08;0
2016-05-09;1227
2016-05-10;1365
2016-05-11;1433
2016-05-12;1619
2016-05-13;1315
2016-05-14;4
2016-05-15;0
2016-05-16;1340
2016-05-17;1491
2016-05-18;1591
2016-05-19;1807
2016-05-20;1517
2016-05-21;4
2016-05-22;0
2016-05-23;1392
2016-05-24;1858
2016-05-25;1886
2016-05-26;0
2016-05-27;924
2016-05-28;2
2016-05-29;0
2016-05-30;1916
2016-05-31;2423
2016-06-01;1206
2016-06-02;1471
2016-06-03;1256
2016-06-04;0
2016-06-05;0
2016-06-06;1178
2016-06-07;1434
2016-06-08;1405
2016-06-09;1661
2016-06-10;1405
2016-06-11;2
2016-06-12;0
2016-06-13;1186
2016-06-14;1483
2016-06-15;1581
2016-06-16;1604
2016-06-17;1365
2016-06-18;4
2016-06-19;0
2016-06-20;1467
2016-06-21;1381
2016-06-22;1682
2016-06-23;1813
2016-06-24;1535
2016-06-25;3
2016-06-26;0
2016-06-27;1629
2016-06-28;1770
2016-06-29;2171
2016-06-30;2567
2016-07-01;1148
2016-07-02;1
2016-07-03;0
2016-07-04;1048
2016-07-05;1267
2016-07-06;1304
2016-07-07;1463
2016-07-08;1262
2016-07-09;3
2016-07-10;0
2016-07-11;1012
2016-07-12;1208
2016-07-13;1249
2016-07-14;1521
2016-07-15;1217
2016-07-16;2
2016-07-17;0
2016-07-18;1055
2016-07-19;1355
2016-07-20;1294
2016-07-21;1440
2016-07-22;1320
2016-07-23;3
2016-07-24;0
2016-07-25;1123
2016-07-26;1129
2016-07-27;1427
2016-07-28;1814
2016-07-29;1815
2016-07-30;6
2016-07-31;0
2016-08-01;874
2016-08-02;937
2016-08-03;1120
2016-08-04;1228
2016-08-05;1027
2016-08-06;1
2016-08-07;0
2016-08-08;965
2016-08-09;1098
2016-08-10;999
2016-08-11;1206
2016-08-12;926
2016-08-13;1
2016-08-14;0
2016-08-15;0
2016-08-16;767
2016-08-17;914
2016-08-18;1261
2016-08-19;1125
2016-08-20;1
2016-08-21;0
2016-08-22;1128
2016-08-23;1072
2016-08-24;1233
2016-08-25;1454
2016-08-26;1224
2016-08-27;4
2016-08-28;0
2016-08-29;1351
2016-08-30;1714
2016-08-31;2071
2016-09-01;1183
2016-09-02;1021
2016-09-03;1
2016-09-04;0
2016-09-05;956
2016-09-06;965
2016-09-07;1120
2016-09-08;1133
2016-09-09;1107
2016-09-10;2
2016-09-11;0
2016-09-12;981
2016-09-13;1120
2016-09-14;1133
2016-09-15;1365
2016-09-16;1290
2016-09-17;3
2016-09-18;0
2016-09-19;1047
2016-09-20;1136
2016-09-21;1260
2016-09-22;1414
2016-09-23;1229
2016-09-24;3
2016-09-25;0
2016-09-26;1372
2016-09-27;1565
2016-09-28;1821
2016-09-29;2388
2016-09-30;2367
2016-10-01;2
2016-10-02;0
2016-10-03;938
2016-10-04;1111
2016-10-05;1245
2016-10-06;1298
2016-10-07;1278
2016-10-08;5
2016-10-09;0
2016-10-10;1116
2016-10-11;1160
2016-10-12;1329
2016-10-13;1384
2016-10-14;1262
2016-10-15;3
2016-10-16;0
2016-10-17;1070
2016-10-18;1303
2016-10-19;1347
2016-10-20;1517
2016-10-21;1428
2016-10-22;3
2016-10-23;0
2016-10-24;1234
2016-10-25;1533
2016-10-26;1708
2016-10-27;2091
2016-10-28;2119
2016-10-29;5
2016-10-30;0
2016-10-31;1456
2016-11-01;0
2016-11-02;1006
2016-11-03;1229
2016-11-04;1370
2016-11-05;2
2016-11-06;0
2016-11-07;1293
2016-11-08;1483
2016-11-09;1539
2016-11-10;1508
2016-11-11;0
2016-11-12;2
2016-11-13;0
2016-11-14;1356
2016-11-15;1539
2016-11-16;1557
2016-11-17;1811
2016-11-18;1540
2016-11-19;5
2016-11-20;0
2016-11-21;1387
2016-11-22;1572
2016-11-23;1857
2016-11-24;2236
2016-11-25;1914
2016-11-26;10
2016-11-27;0
2016-11-28;1889
2016-11-29;2385
2016-11-30;2741
2016-12-01;1599
2016-12-02;1472
2016-12-03;3
2016-12-04;0
2016-12-05;1570
2016-12-06;1756
2016-12-07;1846
2016-12-08;1776
2016-12-09;1660
2016-12-10;3
2016-12-11;0
2016-12-12;1587
2016-12-13;1660
2016-12-14;1867
2016-12-15;2200
2016-12-16;2010
2016-12-17;11
2016-12-18;0
2016-12-19;2028
2016-12-20;2244
2016-12-21;2395
2016-12-22;2536
2016-12-23;1503
2016-12-24;0
2016-12-25;0
2016-12-26;0
2016-12-27;1491
2016-12-28;2067
2016-12-29;2456
2016-12-30;2322
2016-12-31;3
2017-01-01;1
2017-01-02;1327
2017-01-03;1466
2017-01-04;1676
2017-01-05;1583
2017-01-06;0
2017-01-07;3
2017-01-08;0
2017-01-09;1455
2017-01-10;1427
2017-01-11;1621
2017-01-12;1707
2017-01-13;1410
2017-01-14;3
2017-01-15;0
2017-01-16;1462
2017-01-17;1518
2017-01-18;1730
2017-01-19;1691
2017-01-20;1550
2017-01-21;9
2017-01-22;0
2017-01-23;1411
2017-01-24;1515
2017-01-25;1776
2017-01-26;1959
2017-01-27;1869
2017-01-28;4
2017-01-29;0
2017-01-30;1960
2017-01-31;2439
2017-02-01;1426
2017-02-02;1623
2017-02-03;1393
2017-02-04;3
2017-02-05;0
2017-02-06;1515
2017-02-07;1501
2017-02-08;1653
2017-02-09;1722
2017-02-10;1564
2017-02-11;5
2017-02-12;0
2017-02-13;1379
2017-02-14;1693
2017-02-15;1698
2017-02-16;1791
2017-02-17;1683
2017-02-18;9
2017-02-19;0
2017-02-20;1468
2017-02-21;1677
2017-02-22;1771
2017-02-23;2124
2017-02-24;1846
2017-02-25;8
2017-02-26;0
2017-02-27;2272
2017-02-28;2707
2017-03-01;1542
2017-03-02;1698
2017-03-03;1438
2017-03-04;3
2017-03-05;0
2017-03-06;1487
2017-03-07;1674
2017-03-08;1664
2017-03-09;1860
2017-03-10;1570
2017-03-11;2
2017-03-12;1
2017-03-13;1468
2017-03-14;1898
2017-03-15;1908
2017-03-16;1624
2017-03-17;1776
2017-03-18;4
2017-03-19;0
2017-03-20;1660
2017-03-21;1695
2017-03-22;1954
2017-03-23;2122
2017-03-24;1895
2017-03-25;67
2017-03-26;0
2017-03-27;1531
2017-03-28;2120
2017-03-29;2604
2017-03-30;3231
2017-03-31;3424
2017-04-01;3
2017-04-02;0
2017-04-03;1368
2017-04-04;1488
2017-04-05;1672
2017-04-06;1732
2017-04-07;1686
2017-04-08;5
2017-04-09;0
2017-04-10;1690
2017-04-11;1847
2017-04-12;2021
2017-04-13;2082
2017-04-14;1284
2017-04-15;0
2017-04-16;0
2017-04-17;0
2017-04-18;1182
2017-04-19;1566
2017-04-20;1956
2017-04-21;1674
2017-04-22;79
2017-04-23;0
2017-04-24;1694
2017-04-25;2057
2017-04-26;2458
2017-04-27;3043
2017-04-28;2678
2017-04-29;51
2017-04-30;0
2017-05-01;0
2017-05-02;375
2017-05-03;0
2017-05-04;1117
2017-05-05;1164
2017-05-06;1
2017-05-07;1
2017-05-08;1512
2017-05-09;1556
2017-05-10;1695
2017-05-11;1964
2017-05-12;1566
2017-05-13;10
2017-05-14;0
2017-05-15;1517
2017-05-16;1531
2017-05-17;1640
2017-05-18;1812
2017-05-19;1493
2017-05-20;7
2017-05-21;0
2017-05-22;1472
2017-05-23;1685
2017-05-24;1951
2017-05-25;2198
2017-05-26;1858
2017-05-27;6
2017-05-28;0
2017-05-29;2017
2017-05-30;2374
2017-05-31;2711
2017-06-01;1530
2017-06-02;1433
2017-06-03;1
2017-06-04;0
2017-06-05;1406
2017-06-06;1460
2017-06-07;1641
2017-06-08;1599
2017-06-09;1590
2017-06-10;5
2017-06-11;0
2017-06-12;1584
2017-06-13;1572
2017-06-14;1644
2017-06-15;0
2017-06-16;736
2017-06-17;1
2017-06-18;0
2017-06-19;1346
2017-06-20;1640
2017-06-21;1798
2017-06-22;2046
2017-06-23;1703
2017-06-24;7
2017-06-25;0
2017-06-26;1999
2017-06-27;2244
2017-06-28;2602
2017-06-29;3063
2017-06-30;2536
2017-07-01;1
2017-07-02;0
2017-07-03;1409
2017-07-04;1608
2017-07-05;1636
2017-07-06;1582
2017-07-07;1518
2017-07-08;7
2017-07-09;0
2017-07-10;1327
2017-07-11;1515
2017-07-12;1450
2017-07-13;1576
2017-07-14;1509
2017-07-15;0
2017-07-16;0
2017-07-17;1175
2017-07-18;1485
2017-07-19;1663
2017-07-20;1648
2017-07-21;1392
2017-07-22;2
2017-07-23;0
2017-07-24;1172
2017-07-25;1414
2017-07-26;1743
2017-07-27;1831
2017-07-28;1988
2017-07-29;20
2017-07-30;0
2017-07-31;2275
2017-08-01;1148
2017-08-02;1304
2017-08-03;1376
2017-08-04;1178
2017-08-05;2
2017-08-06;0
2017-08-07;1101
2017-08-08;1170
2017-08-09;1295
2017-08-10;1478
2017-08-11;1255
2017-08-12;5
2017-08-13;0
2017-08-14;570
2017-08-15;0
2017-08-16;952
2017-08-17;1169
2017-08-18;1230
2017-08-19;4
2017-08-20;0
2017-08-21;1197
2017-08-22;1275
2017-08-23;1465
2017-08-24;1524
2017-08-25;1377
2017-08-26;4
2017-08-27;0
2017-08-28;1418
2017-08-29;1753
2017-08-30;2401
2017-08-31;2483
2017-09-01;1091
2017-09-02;5
2017-09-03;0
2017-09-04;1007
2017-09-05;1256
2017-09-06;1192
2017-09-07;1376
2017-09-08;1198
2017-09-09;2
2017-09-10;0
2017-09-11;1109
2017-09-12;1235
2017-09-13;1344
2017-09-14;1457
2017-09-15;1304
2017-09-16;0
2017-09-17;0
2017-09-18;1144
2017-09-19;1423
2017-09-20;1397
2017-09-21;1652
2017-09-22;1528
2017-09-23;2
2017-09-24;0
2017-09-25;1753
2017-09-26;1849
2017-09-27;2170
2017-09-28;2844
2017-09-29;2882
2017-09-30;8
2017-10-01;0
2017-10-02;1261
2017-10-03;1369
2017-10-04;1442
2017-10-05;1437
2017-10-06;1360
2017-10-07;97
2017-10-08;0
2017-10-09;1260
2017-10-10;1390
2017-10-11;1460
2017-10-12;1565
2017-10-13;1338
2017-10-14;75
2017-10-15;0
2017-10-16;1273
2017-10-17;1385
2017-10-18;1554
2017-10-19;1791
2017-10-20;1542
2017-10-21;2
2017-10-22;0
2017-10-23;1387
2017-10-24;1691
2017-10-25;1803
2017-10-26;2052
2017-10-27;2089
2017-10-28;7
2017-10-29;0
2017-10-30;2475
2017-10-31;2676
2017-11-01;0
2017-11-02;1267
2017-11-03;1408
2017-11-04;78
2017-11-05;0
2017-11-06;1384
2017-11-07;1449
2017-11-08;1791
2017-11-09;2018
2017-11-10;1262
2017-11-11;0
2017-11-12;3
2017-11-13;804
2017-11-14;1270
2017-11-15;1399
2017-11-16;1530
